[2019-03-12 16:34:47,780[history_data] INFO: code=000430.SZ
[2019-03-12 16:34:48,468[history_data] INFO: code=000488.SZ
[2019-03-12 16:34:48,740[history_data] INFO: code=000498.SZ
[2019-03-12 16:34:49,036[history_data] INFO: code=000501.SZ
[2019-03-12 16:34:49,424[history_data] INFO: code=000502.SZ
[2019-03-12 16:34:49,798[history_data] INFO: code=000503.SZ
[2019-03-12 16:34:51,501[history_data] INFO: code=000504.SZ
[2019-03-12 16:34:51,814[history_data] INFO: code=000505.SZ
[2019-03-12 16:34:52,185[history_data] INFO: code=000506.SZ
[2019-03-12 16:34:52,499[history_data] INFO: code=000507.SZ
[2019-03-12 16:34:52,833[history_data] INFO: code=000509.SZ
[2019-03-12 16:34:53,118[history_data] INFO: code=000510.SZ
[2019-03-12 16:34:53,510[history_data] INFO: code=000513.SZ
[2019-03-12 16:34:53,814[history_data] INFO: code=000514.SZ
[2019-03-12 16:34:54,138[history_data] INFO: code=000516.SZ
[2019-03-12 16:34:54,440[history_data] INFO: code=000517.SZ
[2019-03-12 16:34:54,780[history_data] INFO: code=000518.SZ
[2019-03-12 16:34:58,091[history_data] INFO: code=000519.SZ
[2019-03-12 16:34:58,658[history_data] INFO: code=000520.SZ
[2019-03-12 16:34:59,236[history_data] INFO: code=000521.SZ
[2019-03-12 16:34:59,540[history_data] INFO: code=000523.SZ
[2019-03-12 16:34:59,833[history_data] INFO: code=000524.SZ
[2019-03-12 16:35:00,190[history_data] INFO: code=000525.SZ
[2019-03-12 16:35:00,464[history_data] INFO: code=000526.SZ
[2019-03-12 16:35:00,765[history_data] INFO: code=000528.SZ
[2019-03-12 16:35:01,088[history_data] INFO: code=000529.SZ
[2019-03-12 16:35:01,718[history_data] INFO: code=000530.SZ
[2019-03-12 16:35:02,019[history_data] INFO: code=000531.SZ
[2019-03-12 16:35:02,313[history_data] INFO: code=000532.SZ
[2019-03-12 16:35:02,679[history_data] INFO: code=000533.SZ
[2019-03-12 16:35:03,014[history_data] INFO: code=000534.SZ
[2019-03-12 16:35:03,304[history_data] INFO: code=000536.SZ
[2019-03-12 16:35:03,909[history_data] INFO: code=000537.SZ
[2019-03-12 16:35:04,216[history_data] INFO: code=000538.SZ
[2019-03-12 16:35:05,168[history_data] INFO: code=000539.SZ
[2019-03-12 16:35:05,475[history_data] INFO: code=000540.SZ
[2019-03-12 16:35:05,764[history_data] INFO: code=000541.SZ
[2019-03-12 16:35:06,073[history_data] INFO: code=000543.SZ
[2019-03-12 16:35:06,362[history_data] INFO: code=000544.SZ
[2019-03-12 16:35:07,700[history_data] INFO: code=000545.SZ
[2019-03-12 16:35:08,401[history_data] INFO: code=000546.SZ
[2019-03-12 16:35:08,840[history_data] INFO: code=000547.SZ
[2019-03-12 16:35:09,123[history_data] INFO: code=000548.SZ
[2019-03-12 16:35:09,502[history_data] INFO: code=000550.SZ
[2019-03-12 16:35:09,821[history_data] INFO: code=000551.SZ
[2019-03-12 16:35:16,611[history_data] INFO: code=000001.SZ
[2019-03-12 16:35:16,968[history_data] INFO: code=000002.SZ
[2019-03-12 16:35:17,312[history_data] INFO: code=000004.SZ
[2019-03-12 16:35:17,630[history_data] INFO: code=000005.SZ
[2019-03-12 16:35:17,943[history_data] INFO: code=000006.SZ
[2019-03-12 16:35:19,041[history_data] INFO: code=000007.SZ
[2019-03-12 16:35:19,372[history_data] INFO: code=000008.SZ
[2019-03-12 16:35:19,685[history_data] INFO: code=000009.SZ
[2019-03-12 16:35:20,032[history_data] INFO: code=000010.SZ
[2019-03-12 16:35:20,368[history_data] INFO: code=000011.SZ
[2019-03-12 16:35:20,701[history_data] INFO: code=000012.SZ
[2019-03-12 16:35:21,047[history_data] INFO: code=000014.SZ
[2019-03-12 16:35:21,413[history_data] INFO: code=000016.SZ
[2019-03-12 16:35:21,733[history_data] INFO: code=000017.SZ
[2019-03-12 16:35:22,073[history_data] INFO: code=000018.SZ
[2019-03-12 16:35:22,491[history_data] INFO: code=000019.SZ
[2019-03-12 16:35:22,813[history_data] INFO: code=000020.SZ
[2019-03-12 16:35:23,238[history_data] INFO: code=000021.SZ
[2019-03-12 16:35:23,559[history_data] INFO: code=000023.SZ
[2019-03-12 16:35:23,889[history_data] INFO: code=000025.SZ
[2019-03-12 16:35:24,207[history_data] INFO: code=000026.SZ
[2019-03-12 16:35:24,547[history_data] INFO: code=000027.SZ
[2019-03-12 16:35:24,925[history_data] INFO: code=000028.SZ
[2019-03-12 16:35:25,591[history_data] INFO: code=000030.SZ
[2019-03-12 16:35:25,909[history_data] INFO: code=000031.SZ
[2019-03-12 16:35:26,245[history_data] INFO: code=000032.SZ
[2019-03-12 16:35:26,876[history_data] INFO: code=000034.SZ
[2019-03-12 16:35:27,196[history_data] INFO: code=000035.SZ
[2019-03-12 16:35:28,029[history_data] INFO: code=000036.SZ
[2019-03-12 16:35:28,660[history_data] INFO: code=000037.SZ
[2019-03-12 16:35:29,043[history_data] INFO: code=000038.SZ
[2019-03-12 16:35:29,407[history_data] INFO: code=000039.SZ
[2019-03-12 16:35:29,753[history_data] INFO: code=000040.SZ
