[2019-06-06 12:17:10,926[history_data] INFO: code=000001.SZ
[2019-06-06 12:17:11,056[history_data] INFO: code=000001.SZ
[2019-06-06 12:17:11,141[history_data] INFO: code=000001.SZ
[2019-06-06 12:17:11,191[history_data] INFO: code=000001.SZ
[2019-06-06 12:17:11,268[history_data] INFO: code=000001.SZ
[2019-06-06 12:17:11,634[history_data] INFO: code=000001.SZ
[2019-06-06 12:17:11,785[history_data] INFO: code=000002.SZ
[2019-06-06 12:17:11,828[history_data] INFO: code=000002.SZ
[2019-06-06 12:17:11,838[history_data] INFO: code=000001.SZ
[2019-06-06 12:17:11,969[history_data] INFO: code=000002.SZ
[2019-06-06 12:17:12,115[history_data] INFO: code=000002.SZ
[2019-06-06 12:17:12,116[history_data] INFO: code=000002.SZ
[2019-06-06 12:17:12,378[history_data] INFO: code:000001.SZ
[2019-06-06 12:17:12,479[history_data] INFO: code=000004.SZ
[2019-06-06 12:17:12,495[history_data] INFO: code=000004.SZ
[2019-06-06 12:17:12,739[history_data] INFO: code=000004.SZ
[2019-06-06 12:17:12,802[history_data] INFO: code=000002.SZ
[2019-06-06 12:17:12,911[history_data] INFO: code=000004.SZ
[2019-06-06 12:17:12,911[history_data] INFO: code=000002.SZ
[2019-06-06 12:17:12,946[history_data] INFO: code=000004.SZ
[2019-06-06 12:17:13,107[history_data] INFO: code=000005.SZ
[2019-06-06 12:17:13,108[history_data] INFO: code=000005.SZ
[2019-06-06 12:17:13,330[history_data] INFO: code=000005.SZ
[2019-06-06 12:17:14,013[history_data] INFO: code=000004.SZ
[2019-06-06 12:17:14,246[history_data] INFO: code=000006.SZ
[2019-06-06 12:17:14,393[history_data] INFO: code=000006.SZ
[2019-06-06 12:17:14,455[history_data] INFO: code=000005.SZ
[2019-06-06 12:17:14,725[history_data] INFO: code=000004.SZ
[2019-06-06 12:17:14,729[history_data] INFO: code=000007.SZ
[2019-06-06 12:17:14,994[history_data] INFO: code=000006.SZ
[2019-06-06 12:17:15,008[history_data] INFO: code:000002.SZ
[2019-06-06 12:17:15,086[history_data] INFO: code=000007.SZ
[2019-06-06 12:17:15,107[history_data] INFO: code=000006.SZ
[2019-06-06 12:17:15,219[history_data] INFO: code=000008.SZ
[2019-06-06 12:17:15,396[history_data] INFO: code=000005.SZ
[2019-06-06 12:17:15,623[history_data] INFO: code=000008.SZ
[2019-06-06 12:17:15,668[history_data] INFO: code=000007.SZ
[2019-06-06 12:17:15,809[history_data] INFO: code=000005.SZ
[2019-06-06 12:17:15,809[history_data] INFO: code=000009.SZ
[2019-06-06 12:21:14,011[history_data] INFO: code=000001.SZ
[2019-06-06 12:21:14,070[history_data] INFO: code=000001.SZ
[2019-06-06 12:21:14,076[history_data] INFO: code=000001.SZ
[2019-06-06 12:21:14,076[history_data] INFO: code=000001.SZ
[2019-06-06 12:21:14,189[history_data] INFO: code=000001.SZ
[2019-06-06 12:21:14,289[history_data] INFO: code=000001.SZ
[2019-06-06 12:21:14,437[history_data] INFO: code=000001.SZ
[2019-06-06 12:21:15,103[history_data] INFO: code=000002.SZ
[2019-06-06 12:21:15,215[history_data] INFO: code:000001.SZ
[2019-06-06 12:21:15,232[history_data] INFO: code=000002.SZ
[2019-06-06 12:21:15,774[history_data] INFO: code=000002.SZ
[2019-06-06 12:21:15,775[history_data] INFO: code=000002.SZ
[2019-06-06 12:21:15,830[history_data] INFO: code=000004.SZ
[2019-06-06 12:21:15,925[history_data] INFO: code=000004.SZ
[2019-06-06 12:21:16,065[history_data] INFO: code=000002.SZ
[2019-06-06 12:21:16,216[history_data] INFO: code=000002.SZ
[2019-06-06 12:21:16,548[history_data] INFO: code=000004.SZ
[2019-06-06 12:21:16,606[history_data] INFO: code=000005.SZ
[2019-06-06 12:21:16,684[history_data] INFO: code=000004.SZ
[2019-06-06 12:21:16,831[history_data] INFO: code=000002.SZ
[2019-06-06 12:21:16,833[history_data] INFO: code=000004.SZ
[2019-06-06 12:21:16,885[history_data] INFO: code=000005.SZ
[2019-06-06 12:21:17,310[history_data] INFO: code=000006.SZ
[2019-06-06 12:21:17,355[history_data] INFO: code=000005.SZ
[2019-06-06 12:21:17,476[history_data] INFO: code:000002.SZ
[2019-06-06 12:21:17,497[history_data] INFO: code=000006.SZ
[2019-06-06 12:21:17,521[history_data] INFO: code=000005.SZ
[2019-06-06 12:21:17,530[history_data] INFO: code=000005.SZ
[2019-06-06 12:21:17,931[history_data] INFO: code=000006.SZ
[2019-06-06 12:21:17,950[history_data] INFO: code=000004.SZ
[2019-06-06 12:21:18,068[history_data] INFO: code=000007.SZ
[2019-06-06 12:21:18,138[history_data] INFO: code=000006.SZ
[2019-06-06 12:21:18,233[history_data] INFO: code=000006.SZ
[2019-06-06 12:21:18,537[history_data] INFO: code=000007.SZ
[2019-06-06 12:21:18,666[history_data] INFO: code=000007.SZ
[2019-06-06 12:21:18,763[history_data] INFO: code=000008.SZ
[2019-06-06 12:21:18,954[history_data] INFO: code=000007.SZ
[2019-06-06 12:21:18,961[history_data] INFO: code=000007.SZ
